topology,count,empirical_probability,exact_probability,absolute_error
12|34,6392,0.06392,0.06387974495828298,4.0255041717021656e-05
13|24,87341,0.87341,0.8722405100834337,0.0011694899165662909
14|23,6267,0.06267,0.06387974495828297,0.0012097449582829656
